id,text,created_at,like_count,retweet_count,reply_count,quote_count
1653776706421882881,"Tubabajwe cyane kandi twihanganishije imiryango y’abahitanywe n'inkangu n’imyuzure byibasiriye Intara y'Iburengerazuba, Amajyaruguru n'Amajyepfo mu ijoro ryakeye. Turakora ibishoboka byose mu guhangana n’iki kibazo gikomeye. Nanjye ubwanjye ndabikurikiranira hafi.",2023-05-03 15:01:07+00:00,5072,1330,439,49
1652276407865597952,We are #Gunners ...newest &amp; youngest....#FanClub!! 😆🤩😍😍!!!! https://t.co/VOIEY7K1H3,2023-04-29 11:39:28+00:00,26873,3011,1330,348
1649480667661475848,"#EidMubarak to all celebrating in Rwanda and around the world. Wishing you joy, peace and prosperity.",2023-04-21 18:30:11+00:00,4611,726,224,26
1645106644605444097,"We appreciate leaders&amp;friends frm across the wrld who sent msg of solidarity during ths period. Even for those who want to find their own words for what our country went thru, KWIBUKA is an opprt to reflect and kp getting closer to the TRUTH. Important to move in right direction",2023-04-09 16:49:23+00:00,7362,2039,479,73
1635342360862396416,"Our thanks and appreciation to Uğur Şahin, Özlem Türeci, Sierk Pötting &amp; the whole BNT team for the outstanding partnership, as well as to @KenupFoundation, #TeamEurope, @IFC_org, @WHO &amp; @AfricaCDC for key support. https://t.co/Z0QhPASn7M",2023-03-13 18:09:36+00:00,2831,681,91,12
1635342344307482629,"Historic milestone today as the first @BioNTech_Group BioNTainers arrived in Rwanda, exactly 3 years since the first case of Covid-19 was detected in our country. This system will allow end-to-end mRNA vaccine production in Africa for the first time.",2023-03-13 18:09:32+00:00,4596,1448,312,120
1633436696711684096,Salute to all women in Rw &amp; Globally on this important day. We are with you in this Gender equality struggle in its real sense!!,2023-03-08 11:57:10+00:00,6064,1304,297,55
1632063894435901443,"What a happy moment for Arsenal,Coach,Nelson and all of us fans ...  Wow ...😁😁!!!!",2023-03-04 17:02:09+00:00,21529,3065,1324,319
1629073515310682112,After this conversation no stress at all 😁😁😍😍!!! https://t.co/BXAZQAw1kI,2023-02-24 10:59:27+00:00,55654,4490,1725,386
1625537211444740115,Today and my #1Girls.😍😍😍😍!! https://t.co/XpDoMvNVM7,2023-02-14 16:47:26+00:00,26152,2076,1441,176
1622669958323773440,"My deepest condolences to President @RTErdogan, the people of Türkiye and of Syria for the immense loss of life and destruction following the earthquake. The people of Rwanda stand in solidarity with you during this time of sorrow.",2023-02-06 18:54:00+00:00,5263,929,268,26
1620749021789958154,"As we face challenges of regional and global nature, today is a reminder of our ability to stand up for what is right, to protect our nation and to build a legacy of prosperity for generations. Happy Heroes Day!",2023-02-01 11:40:53+00:00,2658,679,124,14
1620748993059000320,"Today, we honour the Rwandan men and women whose bravery and patriotism laid the foundation for a nation of a people determined to shape their own destiny.",2023-02-01 11:40:46+00:00,7300,1488,462,55
1620747842129399810,"Mu gihe duhanganye n’ibibazo bifite aho bihuriye n’akarere duherereyemo ndetse n’isi muri rusange, uyu munsi uratwibutsa ubushobozi bwacu bwo guhagarara ku kuri, kurinda igihugu cyacu, no kubaka umurage w’iterambere ku badukomokaho n’ababakomokaho. Umunsi Mwiza w’Intwari!",2023-02-01 11:36:12+00:00,2000,546,130,13
1620747819073277956,"Uyu munsi, turizihiza ubutwari no gukunda igihugu by’Abanyarwanda badusigiye umusingi wo kubakiraho u Rwanda rufite abaturage biyemeje kwigenera ejo hazaza hababereye. #Ubutwari2023",2023-02-01 11:36:06+00:00,2422,642,120,18
1618304093868658693,Thank you @KGeorgieva for your visit and for the innovative IMF Resilience and Sustainability Trust. It is productive and will play a key role in scaling up the work of Rwanda and developing countries towards a sustainable and green economy in our transformational journey.,2023-01-25 17:45:37+00:00,2982,594,226,12
1612437874653253635,Namenye amakuru y’impanuka ya bisi y’ishuri yabereye i Rebero muri iki gitondo. Twifurije gukira vuba abana bose kandi turahumuriza imiryango yabo. Turakora ibishoboka byose kugira ngo abana bari bayirimo bose bitabweho uko bikwiye.,2023-01-09 13:15:21+00:00,9562,1589,893,129
1612437759238770688,My condolences for this tragic loss to my brother President @Macky_Sall and to the families of the victims. Rwanda stands with you during this difficult time. https://t.co/34z3xJSGC7,2023-01-09 13:14:54+00:00,1349,237,77,1
1589510833821712384,My sincere condolences to the people of Tanzania and to President @SuluhuSamia for the loss of lives following the plane accident. Our thoughts are with the families and loved ones of all the victims.,2022-11-07 06:51:29+00:00,7025,1023,736,44
1586870348527685638,"Few hours ago I had good discussion with the UNSG on the conflict in E.DRC. The ways and means to de-escalate...&amp; address the issues to a peaceful end are with us building on the Nairobi,Luanda &amp; other international efforts! We just have to commit ourselves to applying them!!!",2022-10-30 23:59:08+00:00,6119,1321,1424,183
1584494424515497984,"Let me take this moment to say thank you very much to all that sent in the hearty Wishes for my BD.
My life thus far been full to the brim!! I have succeeded because of/with you. Where I failed it has been bcz of me alone. I can't complain!!! Many Blessings to you All !!!",2022-10-24 10:38:03+00:00,12307,1678,1170,121
1570371656597504000,Rwanda looks forward to working together with King Charles III to move the Commonwealth agenda forward in service of all our citizens.,2022-09-15 11:19:13+00:00,2441,409,386,7
1570371587689390080,"I had the opportunity to express through a phone conversation, my sincere condolences to His Majesty King Charles III for the passing of his mother Her Late Majesty Queen Elizabeth II.",2022-09-15 11:18:57+00:00,4162,602,230,12
1569705252785426433,It was a pleasure to join Kenyans and other leaders at the inaugural ceremony and handing over power to my brother  @WilliamsRuto by his predecessor former Prez Uhuru Kenyatta. Congratulations to both leaders and Kenyans for peaceful transition. Even more cooperation ahead!!,2022-09-13 15:11:10+00:00,21183,2172,784,55
1567995995153223689,"I extend my deepest condolences to His Majesty the King, Her Majesty the Queen Consort, and the entire Royal Family, as well as the people of the United Kingdom and the Commonwealth. (2/2)",2022-09-08 21:59:11+00:00,3326,561,84,3
1567995991030382595,"In this moment of sorrow at the passing of Her Majesty Queen Elizabeth II, we recall her 70 years of stewardship of the Commonwealth of Nations. The modern Commonwealth is her legacy. (1/2)",2022-09-08 21:59:10+00:00,6154,1018,216,37
